PseudoID,PseudoIDRe,ReportID,Opened,Closed,YearOpened,Summary,OriginalReporter,Reporter,Status,SecuritySeverity,Component,WeaknessType,IsExternal,Releases,Language,IsExploited,FirstReported,FixedTimestamp,TimeToFix,TimeFromFirstReport,IsReopened
1337814,1337052,1337052,1486405102,1487106777,2017,            Crash in nsTArray_Impl<T>::RemoveElementsAt | nsTArray_Impl<T>::RemoveElementsAt | FireForgetSkippable        ,Calixte Denizet,  calixte,RESOLVED DUPLICATE,Critical,DOM: Core & HTML,,0,NotStable,"['C++', 'HTML']",0,1486405102,1486599265,2,0,1
806483,806483,806483,1351536009,1352212466,2012,            Heap-use-after-free (read) nsIFrame::GetStyleContext        ,Mats Palmgren,  MatsPalmgren_bugz,RESOLVED FIXED,Critical,Layout,,0,Stable,['C++'],0,1351536009,1352212466,7,0,0
1420507,1420507,1420507,1511554462,1512240680,2017,            Reader view ignores crossorigin attribute        ,Jun Kokatsu,  s.h.h.n.j.k,VERIFIED FIXED,Low,DOM: Security,Exposure of sensitive information,1,Stable,['C++'],0,1511554462,1512240680,7,0,0
953104,953104,953104,1387976667,1388748593,2013,"            OdinMonkey: Assertion failure: !elems_.empty(), at jit/AsmJS.cpp:1213 or Crash on Heap        ",Christian Holler,  decoder,VERIFIED FIXED,Low,JavaScript Engine: JIT,,0,Stable,['C++'],0,1387976667,1388748593,8,0,0
732870,732870,732870,1330915803,1340309198,2012,"            ""ASSERTION: Weird scope returned"" with document.write twice, dataset, adoptNode        ",Jesse Ruderman,  jruderman,RESOLVED FIXED,High,XPConnect,,0,Stable,"['C++', 'HTML']",0,1330915803,1340309198,108,0,0
1448505,1448505,1448505,1521846166,1548885729,2018,            Probable free of uninitialized pointer in ProxyAccessible::RelationByType()        ,Anonymous,  mozillabugs,RESOLVED FIXED,Moderate,Disability Access APIs,,1,Stable,['C++'],0,1521846166,1548885729,312,0,0
958904,958904,958904,1389500869,1390527351,2014,            OpenH264: global-buffer-overflow crash [@WelsDec::WelsResidualBlockCavlc]        ,Christoph Diehl,  posidron,RESOLVED FIXED,,WebRTC: Audio/Video,,0,NotStable,,0,1389500869,1390527351,11,0,0
1534536,1534536,1534536,1552376352,1554103154,2019,            Intermittent GECKO(10544) | SUMMARY: AddressSanitizer: heap-use-after-free z:\build\build\src\dom\localstorage\ActorsParent.cpp:7760 in mozilla::dom::`anonymous namespace'::QuotaClient::AbortOperations        ,Treeherder Bug Filer,  intermittent-bug-filer,RESOLVED FIXED,High,Storage: localStorage & sessionStorage,,0,Stable,,0,1552376352,1554103154,19,0,0
1170274,1170274,1170274,1433186186,1434569017,2015,            Memory-safety bug in nsGenericHTMLElement::GetURIListAttr        ,q1,  q1,RESOLVED FIXED,,DOM: Core & HTML,,1,NotStable,['C++'],0,1433186186,1434569017,16,0,0
1028891,1010090,1010090,1400052019,1404422905,2014,            UAF [@ mozilla::WebGLFramebufferAttachable::NotifyFBsStatusChanged] after frame buffer is cycle-collected        ,Jesse Ruderman,  jruderman,RESOLVED DUPLICATE,Critical,Graphics: CanvasWebGL,Code injection,0,Stable,['C++'],0,1400052019,1404422141,50,0,1
